name,MCC,MCC_std,F1,F1_std,Recall_1900-1919,Recall_1920-1939,Recall_1940-1959,Recall_1960-1979,Recall_1980-1999,Recall_2000-2019,MCC_seed_0
Spain_city-cv,0.23340886581089265,0.0,0.34334876965564903,0.0,0.4300396916135682,0.18577359581747685,0.2874858286218235,0.3216781752575553,0.3138484156852269,0.5885600993736103,0.23340886581089265
Spain_neighborhood-cv,0.2727959339967651,0.0,0.37962346195594593,0.0,0.48868123504738764,0.24482830674932088,0.3412885482981449,0.3595280409677495,0.344763767000055,0.5853892501447725,0.2727959339967651
France_city-cv,0.33333009755567455,0.0,0.4346642840583435,0.0,0.6044576062649867,0.3844877935641668,0.2918338732932346,0.4566924611947569,0.4442588248256794,0.522304747077529,0.33333009755567455
Spain_block-cv,0.3486533717796679,0.0,0.4555915882879323,0.0,0.6479988669290022,0.4489289355208419,0.4532630097243598,0.4172723402338349,0.3726621241524525,0.584033914338887,0.3486533717796679
France_neighborhood-cv,0.35214876354376845,0.0,0.45253017239657095,0.0,0.614913470260173,0.43368018095582817,0.32466837812109844,0.46268186788848314,0.45281820123888217,0.5338391366820849,0.35214876354376845
Netherlands_city-cv,0.3881281286244961,0.0,0.45724765029224784,0.0,0.24604873854661014,0.5032117769404069,0.30136069868995635,0.6199774036818978,0.5362618822381595,0.5390872569723748,0.3881281286244961
France_block-cv,0.39024363703160136,0.0,0.48534384443014655,0.0,0.6318152834780735,0.4743987564558053,0.3990226438925835,0.4903064701575824,0.4761317611285567,0.559117946020554,0.39024363703160136
Netherlands_neighborhood-cv,0.4439193621395652,0.0,0.5076312701097477,0.0,0.35088044641878735,0.5855268789395945,0.36224628820960697,0.6458456363813396,0.587388185005808,0.547133508429903,0.4439193621395652
Spain_random-cv,0.4530656992085021,0.0,0.540339718653101,0.0,0.7404141169725162,0.5934408513638157,0.5676178941976882,0.5151671659045385,0.46092982738707877,0.6185224806270085,0.4530656992085021
France_random-cv,0.48352224404326666,0.0,0.5629921047093305,0.0,0.6886298933982343,0.5675896023024778,0.5279523581926724,0.559698288758156,0.5488464302176584,0.6229194282044958,0.48352224404326666
Netherlands_block-cv,0.5832360529563352,0.0,0.6199926575009016,0.0,0.5002570954119006,0.653823808491767,0.5813344978165939,0.7286609693831989,0.6809907098213924,0.6613735885446972,0.5832360529563352
Netherlands_random-cv,0.7591147130815972,0.0,0.7717330866107505,0.0,0.755013360532061,0.7959797695388409,0.798696943231441,0.8310040842758548,0.8156039694154491,0.7890762458244568,0.7591147130815972
