name,MCC,MCC_std,F1,F1_std,Recall_1900-1909,Recall_1910-1919,Recall_1920-1929,Recall_1930-1939,Recall_1940-1949,Recall_1950-1959,Recall_1960-1969,Recall_1970-1979,Recall_1980-1989,Recall_1990-1999,Recall_2000-2009,Recall_2010-2019,MCC_seed_0
Spain_city-cv,0.14369021475397586,0.0,0.1869109561827874,0.0,0.4403430592745561,0.005476163684783017,0.0754938042491537,0.09613047649504317,0.16191273738893464,0.12377049002860106,0.23781129632815393,0.18660625716875975,0.15683154339352773,0.16793215899392658,0.4207211202120757,0.26808169882948435,0.14369021475397586
France_city-cv,0.2393071486657945,0.0,0.26546092820545303,0.0,0.6132786354312858,0.032029867341266,0.29988531252869854,0.22920406786696415,0.006538125182192979,0.273987484150681,0.28065623428094477,0.35185694427275044,0.30240242729602756,0.20619846241183884,0.341516117150224,0.41778580989844966,0.2393071486657945
Spain_block-cv,0.2595754928439686,0.0,0.3147320372271725,0.0,0.6395723615955418,0.23638773239313354,0.348258884451818,0.3202670291013751,0.336948931217532,0.3132757847970537,0.3544397176355329,0.28228258928019756,0.2474533733322188,0.23812646554316555,0.4001497047590164,0.34578983444057787,0.2595754928439686
Netherlands_city-cv,0.2841324785379225,0.0,0.2861304534802444,0.0,0.20021026458293353,0.06061302877777494,0.16261996449308302,0.3696478714950978,0.010892133837094524,0.309237247903223,0.45688769284550595,0.4651011736594567,0.4051047842187688,0.33304794264245835,0.357290452522028,0.3670357814952888,0.2841324785379225
France_block-cv,0.30144654834043155,0.0,0.3310173103880226,0.0,0.612170283205585,0.11663359973886478,0.3915519969929244,0.29381518186063404,0.09354655117366982,0.36828990960775493,0.3447982709730199,0.4020528436311895,0.35265815738200323,0.2730258157011036,0.3876189619578718,0.4493478458262426,0.30144654834043155
Spain_random-cv,0.39389038484702904,0.0,0.4350152407314354,0.0,0.7136858122461885,0.4674118250128152,0.515725267304949,0.4919091781259994,0.48542879041644194,0.4655867114410734,0.4794262321371818,0.40705748601073755,0.38253320082928544,0.3608137997839685,0.4561107694389636,0.5017350126542234,0.39389038484702904
France_random-cv,0.4212214332597061,0.0,0.44738164418315507,0.0,0.6390010435783944,0.3048855748290125,0.49263714977073186,0.42472630104290976,0.2633434667332972,0.49928586036238704,0.4586807877906816,0.5031289656059761,0.46805378924659874,0.409633499793128,0.4797604056913285,0.535667107001321,0.4212214332597061
Netherlands_block-cv,0.5166513471410904,0.0,0.5071029066773441,0.0,0.43369573379836296,0.31622337480943985,0.4337847457481753,0.5372025364142599,0.3517818850199122,0.5599933184463629,0.6305531920507087,0.6425299654469091,0.626131966110252,0.5748491969644808,0.5323866983492738,0.4979409957974863,0.5166513471410904
Netherlands_random-cv,0.7452460632389905,0.0,0.7257281833591764,0.0,0.6842610284608132,0.6566681144979006,0.7025523812791067,0.7435980232937296,0.7416011436740529,0.7827044467497758,0.8050062330569682,0.8159275633013033,0.8103970551112789,0.7766049484350911,0.732075396918332,0.6943410699021364,0.7452460632389905
Spain_neighborhood-cv,0.18065997440501985,0.0,0.22736904326295374,0.0,0.5011135593387809,0.05757473463110911,0.14033118535379058,0.14020626798848737,0.19599454963522298,0.177404513381442,0.27462743577258053,0.22096799742065074,0.19559826506382175,0.1964528117350251,0.40748995020715806,0.31213750922703787,0.18065997440501985
France_neighborhood-cv,0.2555902990999302,0.0,0.2829444034966395,0.0,0.6191672964122494,0.04942698159302687,0.35015558626227766,0.256062885902558,0.01977401129943503,0.296995378134075,0.2935797159929468,0.3583053507140929,0.311182639603556,0.2266787903280124,0.3521273953006279,0.4251919263518323,0.2555902990999302
Netherlands_neighborhood-cv,0.3322010155124471,0.0,0.33392890279662973,0.0,0.3177164598786807,0.1026342011804083,0.2583213976345875,0.42496019045267336,0.03307634705061439,0.3510387178450231,0.4935301528253227,0.48765990266216325,0.4536907915858922,0.3823451930129174,0.38254406050200956,0.40654201051115957,0.3322010155124471
